 0.04810  0.00589 -145.39624 -0.04446  0.00004  0.00589
 0.11739  0.00619 -138.58341  0.02476  0.00004  0.00619
 0.18028  0.00646 -131.73671  0.08803  0.00004  0.00646
 0.23735  0.00670 -125.01738  0.14582  0.00004  0.00670
 0.28918  0.00692 -118.52509  0.19863  0.00004  0.00692
 0.33629  0.00711 -112.31812  0.24691  0.00004  0.00711
 0.43656  0.00752 -98.20547  0.35060  0.00004  0.00752
 0.51668  0.00785 -86.10617  0.43446  0.00004  0.00785
 0.58143  0.00812 -75.83122  0.50299  0.00004  0.00812
 0.63435  0.00833 -67.12096  0.55958  0.00005  0.00833
 0.67807  0.00851 -59.72192  0.60678  0.00005  0.00851
 0.71455  0.00866 -53.41173  0.64654  0.00005  0.00866
 0.74526  0.00879 -48.00383  0.68032  0.00005  0.00879
 0.77135  0.00889 -43.34473  0.70926  0.00005  0.00889
 0.79368  0.00899 -39.30925  0.73424  0.00005  0.00899
 0.81293  0.00907 -35.79548  0.75596  0.00005  0.00907
 0.84422  0.00920 -30.01601  0.79167  0.00005  0.00920
 0.86832  0.00930 -25.50641  0.81961  0.00005  0.00930
 0.88727  0.00939 -21.92697  0.84190  0.00005  0.00939
 0.90243  0.00945 -19.04218  0.86000  0.00005  0.00945
 0.91474  0.00951 -16.68546  0.87490  0.00005  0.00951
 0.92486  0.00956 -14.73671  0.88734  0.00005  0.00956
 0.93329  0.00960 -13.10775  0.89783  0.00005  0.00960
 0.94039  0.00963 -11.73279  0.90677  0.00005  0.00963
 0.94641  0.00966 -10.56202  0.91447  0.00005  0.00966
 0.95156  0.00968 -9.55715  0.92114  0.00005  0.00968
 0.95988  0.00973 -7.93245  0.93210  0.00005  0.00973
 0.96622  0.00976 -6.68794  0.94067  0.00005  0.00976
 0.97117  0.00978 -5.71401  0.94753  0.00005  0.00978
 0.97511  0.00981 -4.93775  0.95311  0.00005  0.00981
 0.97830  0.00982 -4.30921  0.95772  0.00005  0.00982
 0.98091  0.00984 -3.79323  0.96159  0.00005  0.00984
 0.98308  0.00985 -3.36450  0.96487  0.00005  0.00985
 0.98490  0.00986 -3.00444  0.96768  0.00005  0.00986
 0.98644  0.00987 -2.69915  0.97011  0.00005  0.00987
 0.98775  0.00988 -2.43807  0.97223  0.00005  0.00988
 0.98889  0.00989 -2.21307  0.97409  0.00005  0.00989
 0.98987  0.00990 -2.01781  0.97574  0.00005  0.00990
 0.99073  0.00990 -1.84727  0.97720  0.00005  0.00990
 0.99148  0.00991 -1.69745  0.97851  0.00005  0.00991
 0.99215  0.00991 -1.56513  0.97969  0.00005  0.00991
 0.99351  0.00992 -1.29482  0.98217  0.00005  0.00992
 0.99454  0.00993 -1.08891  0.98414  0.00005  0.00993
 0.99535  0.00994 -0.92845  0.98574  0.00005  0.00994
 0.99599  0.00994 -0.80100  0.98706  0.00005  0.00994
 0.99650  0.00995 -0.69809  0.98817  0.00005  0.00995
 0.99693  0.00995 -0.61380  0.98911  0.00005  0.00995
 0.99728  0.00995 -0.54390  0.98992  0.00005  0.00995
 0.99757  0.00996 -0.48530  0.99062  0.00005  0.00996
 0.99782  0.00996 -0.43567  0.99123  0.00005  0.00996
 0.99803  0.00996 -0.39329  0.99177  0.00005  0.00996
 0.99837  0.00997 -0.32516  0.99268  0.00005  0.00997
 0.99863  0.00997 -0.27331  0.99341  0.00005  0.00997
 0.99883  0.00997 -0.23295  0.99401  0.00005  0.00997
 0.99899  0.00997 -0.20090  0.99452  0.00005  0.00997
 0.99912  0.00998 -0.17504  0.99495  0.00005  0.00998
 0.99923  0.00998 -0.15387  0.99531  0.00005  0.00998
 0.99932  0.00998 -0.13632  0.99563  0.00005  0.00998
 0.99939  0.00998 -0.12161  0.99591  0.00005  0.00998
 0.99945  0.00998 -0.10916  0.99615  0.00005  0.00998
 0.99951  0.00998 -0.09852  0.99637  0.00005  0.00998
 0.99959  0.00998 -0.08144  0.99674  0.00005  0.00998
 0.99966  0.00999 -0.06844  0.99704  0.00005  0.00999
 0.99971  0.00999 -0.05832  0.99729  0.00005  0.00999
 0.99975  0.00999 -0.05029  0.99751  0.00005  0.00999
 0.99978  0.00999 -0.04382  0.99769  0.00005  0.00999
 0.99981  0.00999 -0.03851  0.99785  0.00005  0.00999
 0.99983  0.00999 -0.03412  0.99798  0.00005  0.00999
 0.99985  0.00999 -0.03043  0.99810  0.00005  0.00999
 0.99986  0.00999 -0.02732  0.99821  0.00005  0.00999
 0.99988  0.00999 -0.02465  0.99831  0.00005  0.00999
 0.99989  0.00999 -0.02236  0.99839  0.00005  0.00999
 0.99990  0.00999 -0.02038  0.99847  0.00005  0.00999
 0.99991  0.00999 -0.01864  0.99854  0.00005  0.00999
 0.99991  0.00999 -0.01712  0.99861  0.00005  0.00999
 0.99992  0.00999 -0.01578  0.99867  0.00005  0.00999
 0.99993  0.00999 -0.01304  0.99879  0.00005  0.00999
 0.99995  0.00999 -0.01096  0.99890  0.00005  0.00999
 0.99995  0.01000 -0.00934  0.99899  0.00005  0.01000
 0.99996  0.01000 -0.00805  0.99906  0.00005  0.01000
 0.99996  0.01000 -0.00702  0.99913  0.00005  0.01000
 0.99997  0.01000 -0.00617  0.99918  0.00005  0.01000
 0.99997  0.01000 -0.00546  0.99923  0.00005  0.01000
 0.99998  0.01000 -0.00487  0.99928  0.00005  0.01000
 0.99998  0.01000 -0.00437  0.99932  0.00005  0.01000
 0.99998  0.01000 -0.00395  0.99935  0.00005  0.01000
 0.99998  0.01000 -0.00326  0.99941  0.00005  0.01000
 0.99999  0.01000 -0.00274  0.99946  0.00005  0.01000
 0.99999  0.01000 -0.00234  0.99951  0.00005  0.01000
 0.99999  0.01000 -0.00201  0.99954  0.00005  0.01000
 0.99999  0.01000 -0.00175  0.99957  0.00005  0.01000
